LOCATION_NUM,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LONGITUDE,LATITUDE,SN,Route
54,414,HOUGANG AVENUE 10,HARMONY VIEW,414 HOUGANG AVENUE 10 HARMONY VIEW SINGAPORE 530414,530414,34975.22277,39655.54224,103.895996,1.374904329,54,
55,259C,COMPASSVALE ROAD,COMPASSVALE GARDENS,259C COMPASSVALE ROAD COMPASSVALE GARDENS SINGAPORE 543259,543259,35207.24369,41699.43118,103.8980814,1.39338846,55,
56,201,SERANGOON CENTRAL,NIL,201 SERANGOON CENTRAL SINGAPORE 550201,550201,32482.36658,37009.81418,103.8735955,1.350977799,56,7->8
57,307,SERANGOON AVENUE 2,CHUAN VILLAGE,307 SERANGOON AVENUE 2 CHUAN VILLAGE SINGAPORE 550307,550307,31756.00725,37413.44337,103.8670687,1.354628177,57,7->7
58,153,ANG MO KIO AVENUE 5,YIO CHU KANG GROVE,153 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560153,560153,28972.41958,39816.13202,103.8420565,1.376357457,58,
59,324,ANG MO KIO AVENUE 3,ANG MO KIO 31,324 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560324,560324,29509.13737,38928.93286,103.8468792,1.368333922,59,
60,415,ANG MO KIO AVENUE 10,TECK GHEE HEARTLANDS,415 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560415,560415,30263.22822,38499.846,103.8536552,1.364453366,60,
61,529,ANG MO KIO AVENUE 10,CHENG SAN CENTRE,529 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560529,560529,30463.56075,39372.30782,103.8554554,1.372343582,61,
62,546,ANG MO KIO AVENUE 10,CHENG SAN GREEN,546 ANG MO KIO AVENUE 10 CHENG SAN GREEN SINGAPORE 560546,560546,30637.92416,39516.90349,103.8570222,1.373651239,62,
63,106,BISHAN STREET 12,BISHAN VIEW,106 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570106,570106,29616.87441,36470.49722,103.8478472,1.346100701,63,7->4
64,153,BISHAN STREET 13,NIL,153 BISHAN STREET 13 SINGAPORE 570153,570153,30421.61683,36468.87313,103.8550783,1.346085959,64,7->6
65,407,SIN MING AVENUE,SIN MING GARDEN,407 SIN MING AVENUE SIN MING GARDEN SINGAPORE 570407,570407,28099.7196,38389.24394,103.8342146,1.363453206,65,
66,2,TOH YI DRIVE,TOH YI GARDENS,2 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590002,590002,21547.76199,35704.73854,103.7753414,1.339174804,66,
67,110,JURONG EAST STREET 13,JURONG EAST VILLE,110 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600110,600110,17193.79528,35671.27086,103.7362185,1.338870889,67,
68,203,JURONG EAST STREET 21,JURONG EAST VIEW,203 JURONG EAST STREET 21 JURONG EAST VIEW SINGAPORE 600203,600203,17897.80319,35446.00276,103.7425445,1.336833891,68,
69,246,JURONG EAST STREET 24,NIL,246 JURONG EAST STREET 24 SINGAPORE 600246,600246,17621.01976,35992.55204,103.7400573,1.341776588,69,
70,320,JURONG EAST STREET 31,NIL,320 JURONG EAST STREET 31 SINGAPORE 600320,600320,16580.65513,36764.54829,103.7307087,1.34875786,70,
71,560A,JURONG WEST STREET 42,SPRING HAVEN @ JURONG,560A JURONG WEST STREET 42 SPRING HAVEN @ JURONG SINGAPORE 641560,641560,15369.89638,37273.26226,103.7198291,1.353357993,71,
72,271C,JURONG WEST STREET 24,NIL,271C JURONG WEST STREET 24 SINGAPORE 643271,643271,13640.90252,36918.97203,103.7042931,1.350153145,72,
73,1,HILLVIEW RISE,HILLVIEW COMMUNITY CLUB,1 HILLVIEW RISE HILLVIEW COMMUNITY CLUB SINGAPORE 667970,667970,20319.22025,38225.06873,103.7643016,1.36196747,73,
74,702,CHOA CHU KANG STREET 53,NIL,702 CHOA CHU KANG STREET 53 SINGAPORE 680702,680702,18240.42754,41523.86374,103.7456212,1.391799945,74,
75,810,CHOA CHU KANG AVENUE 7,KEAT HONG COLOURS,810 CHOA CHU KANG AVENUE 7 KEAT HONG COLOURS SINGAPORE 680810,680810,18300.42373,39561.67099,103.7461609,1.374054618,75,
76,689A,CHOA CHU KANG DRIVE,NIL,689A CHOA CHU KANG DRIVE SINGAPORE 681689,681689,18763.39615,42761.07665,103.7503201,1.402989014,76,
77,685B,CHOA CHU KANG CRESCENT,NIL,685B CHOA CHU KANG CRESCENT SINGAPORE 682685,682685,18524.89616,42832.77803,103.7481769,1.403637377,77,
78,31,WOODLANDS AVENUE 6,WOODLANDS GALAXY COMMUNITY CLUB,31 WOODLANDS AVENUE 6 WOODLANDS GALAXY COMMUNITY CLUB SINGAPORE 738991,738991,24582.71686,46747.45074,103.802611,1.439041615,78,
79,118,YISHUN RING ROAD,CHONG PANG VALE,118 YISHUN RING ROAD CHONG PANG VALE SINGAPORE 760118,760118,27479.51049,46409.67291,103.8286415,1.435987078,79,
80,220,YISHUN STREET 21,YISHUN GARDENS,220 YISHUN STREET 21 YISHUN GARDENS SINGAPORE 760220,760220,28214.27318,46147.57039,103.835244,1.433616722,80,
81,280,YISHUN STREET 22,FICUS VALE,280 YISHUN STREET 22 FICUS VALE SINGAPORE 760280,760280,28404.6205,46697.35072,103.8369545,1.438588734,81,
82,624,YISHUN RING ROAD,NIL,624 YISHUN RING ROAD SINGAPORE 760624,760624,28251.98799,44429.36468,103.8355829,1.418077891,82,
83,644,YISHUN STREET 61,NIL,644 YISHUN STREET 61 SINGAPORE 760644,760644,28462.49573,44830.73482,103.8374745,1.421707735,83,
84,512A,YISHUN STREET 51,OLEANDER BREEZE @ YISHUN,512A YISHUN STREET 51 OLEANDER BREEZE @ YISHUN SINGAPORE 761512,761512,28868.25918,44009.10011,103.8411206,1.414277157,84,
85,432B,YISHUN AVENUE 1,VISTA SPRING @ YISHUN,432B YISHUN AVENUE 1 VISTA SPRING @ YISHUN SINGAPORE 762432,762432,29462.65237,44542.38106,103.8464618,1.419099934,85,
86,1,YISHUN AVENUE 9,NEE SOON EAST COMMUNITY CLUB,1 YISHUN AVENUE 9 NEE SOON EAST COMMUNITY CLUB SINGAPORE 768893,768893,28575.28768,45860.53532,103.8384881,1.431020876,86,
87,456A,SENGKANG WEST ROAD,FERNVALE WOODS,456A SENGKANG WEST ROAD FERNVALE WOODS SINGAPORE 791456,791456,32069.08499,41508.20172,103.8698825,1.39165966,87,
